"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS.","Points_Rank","Rebounds_Rank","Assists_Rank","Steals_Rank","Blocks_Rank","TS_Rank","WS_Rank","PER_Rank","Wins_Rank","Sum"
"LAL","2000",1,"Shaquille O'Neal",27,120,1207,1210,0.998,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283,1,67,15,30.6,0.578,6,2,18,20,1,13,4,7,2,73
"PHI","2001",1,"Allen Iverson",25,93,1121,1240,0.904,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,1,56,26,24,0.518,3,19,16,1,16,20,19,17,17,128
"SAS","2002",1,"Tim Duncan",25,57,954,1260,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,2,58,24,27,0.576,13,4,19,17,3,14,8,14,14,106
"SAS","2003",1,"Tim Duncan",26,60,962,1190,0.808,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,1,60,22,26.9,0.564,18,3,17,18,2,16,9,15,11,109
"MIN","2004",1,"Kevin Garnett",27,120,1219,1230,0.991,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272,1,58,24,29.4,0.547,16,1,15,11,4,19,6,11,15,98
"PHO","2005",1,"Steve Nash",30,65,1066,1270,0.839,75,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203,1,62,20,22,0.606,20,20,1,14,20,8,20,20,8,131
"PHO","2006",1,"Steve Nash",31,57,924,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,2,54,28,23.3,0.632,19,17,2,16,17,6,18,19,18,132
"DAL","2007",1,"Dirk Nowitzki",28,83,1138,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,1,67,15,27.6,0.605,15,7,20,19,9,9,10,13,3,105
"LAL","2008",1,"Kobe Bryant",29,82,1100,1260,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,1,57,25,24.2,0.576,9,13,14,5,14,15,15,16,16,117
"CLE","2009",1,"LeBron James",24,109,1172,1210,0.969,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,1,66,16,31.7,0.591,8,10,9,7,6,12,1,1,5,59
"CLE","2010",1,"LeBron James",25,116,1205,1230,0.98,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,1,61,21,31.1,0.604,7,12,5,9,7,11,5,4,10,70
"CHI","2011",1,"Derrick Rose",22,113,1182,1210,0.977,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,1,62,20,23.5,0.55,14,18,6,15,13,18,16,18,9,127
"MIA","2012",1,"LeBron James",27,85,1074,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,2,46,20,30.7,0.605,11,9,11,4,10,10,13,6,20,94
"MIA","2013",1,"LeBron James",28,120,1207,1210,0.998,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,1,66,16,31.6,0.64,12,8,8,8,8,3,2,2,6,57
"OKC","2014",1,"Kevin Durant",25,119,1232,1250,0.986,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,2,59,23,29.8,0.635,1,11,13,12,11,5,3,9,13,78
"GSW","2015",1,"Stephen Curry",26,100,1198,1300,0.922,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,1,67,15,28,0.638,17,16,7,3,18,4,11,12,4,92
"GSW","2016",1,"Stephen Curry",27,131,1310,1310,1,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,1,73,9,31.5,0.669,5,14,10,2,19,1,7,3,1,62
"OKC","2017",1,"Russell Westbrook",28,69,888,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,6,47,35,30.6,0.554,2,6,3,10,15,17,17,8,19,97
"HOU","2018",1,"James Harden",28,86,965,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,1,65,17,29.8,0.619,4,15,4,6,12,7,12,10,7,77
"MIL","2019",1,"Giannis Antetokounmpo",24,78,941,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,1,60,22,30.9,0.644,10,5,12,13,5,2,14,5,12,78
